Species,Type,Fuzziness?,Interesting bits,Folder,Paper,MinAgeMYA,MaxAgeMYA,PointEstimate,Point Estimate in Paper,FossilNotes
Tethytimea tylota,Demo,no,no,Extant,zookeys-680-105,0,0,0,NA,NA
Rhabdastrella distincta,Demo,no,no,Extant,zookeys-680-105,0,0,0,NA,NA
Amphimedon anastomosa,Demo,no,no,Extant,zookeys-680-105,0,0,0,NA,NA
Asbestopluma hypogea,Demo,yes ,carnivore,Extant,VaceletBoury-Esnault1996,0,0,0,NA,NA
Ascandra spalatensis,Calcarea,yes ,no,Extant,301-Article Text-1584-1-10-20160302,0,0,0,NA,NA
Clathrina primordialis,Calcarea,no,one spicule type but great size variation,Extant,301-Article Text-1584-1-10-20160302,0,0,0,NA,NA
Borojevia croatica,Calcarea,yes ,no,Extant,301-Article Text-1584-1-10-20160302,0,0,0,NA,NA
Farrea bowerbanki,Hex,no,Some vestigial rays noted,Extant,boury-esnault_et_al_2017hexactinellida,0,0,0,NA,NA
Tretodictyum reiswigi,Hex,no,no,Extant,boury-esnault_et_al_2017hexactinellida,0,0,0,NA,NA
Haljalaspongia inaudita,Hex,yes ,distinct layers,Fossil,SG143_001-014,455.8,460.9,458.35,No,no_data
Leucandra falakra,Calcarea,yes ,Giant spicules; pairing,Extant,301-Article Text-1584-1-10-20160302,0,0,0,NA,NA
Hymedesmia anatoliensis,Demo,no,no,Extant,zoo-39-4-2-1312-40,0,0,0,NA,NA
Neofibularia chinensis,Demo,no,no,Extant,"Pulitzer-Finali,_1982b",0,0,0,NA,NA
Amphimedon chloros,Demo,yes ,no,Extant,9875,0,0,0,NA,NA
Niphates rowi,Demo,no,no,Extant,9875,0,0,0,NA,NA
Petrosia spheroida,Demo,no,spherical,Extant,"Tanita, 1967",0,0,0,NA,NA
Clathria collosclera,Demo,no,no,Extant,"vanSoest,2009",0,0,0,NA,NA
Pheronema amphorae,Hex,yes ,"""mesosclere"" category",Extant,"Reiswig,1992",0,0,0,NA,NA
Tretodictyum tubulosum,Hex,no,subhexactins,Extant,"mapress,+zt01721p064",0,0,0,NA,NA
Hexactinella carolinensis,Hex,yes ,paper may not adequately describe spicule variation,Extant,"mapress,+zt01721p064",0,0,0,NA,NA
Pheronemoides crustiformis,Hex,no,monaxons may be diactins,Extant,[18759866 - Contributions to Zoology] Phylogeny of two new pheronematid sponges from the Caroline Seamount and South China Sea,0,0,0,NA,NA
Semperella jiaolongae,Hex,yes ,number of pinules unclear,Extant,Gongetal2015-zt04034p192,0,0,0,NA,NA
Saccocalyx microhexactin,Hex,yes ,no,Extant,Gongetal2015-zt04034p192,0,0,0,NA,NA
Platylistrum subviridum,Hex,yes ,uncinates may be microscleres,Extant,"kkochar,+zt04171p574A",0,0,0,NA,NA
Poliopogon canaliculatus,Hex,no,no,Extant,"kkochar,+zt04171p574A",0,0,0,NA,NA
Conorete pourtalesi,Hex,yes ,maybe collapse tylo/subtylo scopules,Extant,zoj12138,0,0,0,NA,NA
Verrucocoeloidea liberatorii,Hex,no,no,Extant,zoj12138,0,0,0,NA,NA
Dictyoplax lecus,Hex,yes ,no,Extant,zoj12138,0,0,0,NA,NA
